,title,views,likes,comments,Description,duration,publishedAt
0,When a Hacker Finds Your Password...,35026848,1133748,25604,"It ends badly.

Discord hackers are the most powerful beings to exist, even greater than mods. Full power, complete control, nothing gets in their way.

Twitter ➤ https://twitter.com/beluga1000
Join My Discord ➤ https://discord.gg/CETznntGeQ

╔═╦╗╔╦╗╔═╦═╦╦╦╦╗╔═╗
║╚╣║║║╚╣╚╣╔╣╔╣║╚╣═╣ 
╠╗║╚╝║║╠╗║╚╣║║║║║═╣
╚═╩══╩═╩═╩═╩╝╚╩═╩═╝

#Discord",PT3M9S,2021-07-14T18:12:07Z
1,When Your Phone is at 1%,30749922,949026,31659,"It ends badly.

1% battery is the worst thing that could ever happen. Time is running out... you need to act fast.

Twitter ➤ https://twitter.com/beluga1000
Join My Discord ➤ https://discord.gg/XEsd5C7SF5

╔═╦╗╔╦╗╔═╦═╦╦╦╦╗╔═╗
║╚╣║║║╚╣╚╣╔╣╔╣║╚╣═╣ 
╠╗║╚╝║║╠╗║╚╣║║║║║═╣
╚═╩══╩═╩═╩═╩╝╚╩═╩═╝",PT2M6S,2021-07-30T17:10:27Z
2,When You Cheat in School Kahoot...,23906132,513040,15777,"Never try this at school.

╔═╦╗╔╦╗╔═╦═╦╦╦╦╗╔═╗
║╚╣║║║╚╣╚╣╔╣╔╣║╚╣═╣ 
╠╗║╚╝║║╠╗║╚╣║║║║║═╣
╚═╩══╩═╩═╩═╩╝╚╩═╩═╝

follow these or i will bite you
• Twitter - https://twitter.com/beluga1000
• Instagram - https://instagram.com/beluga1000
• Discord - https://discord.gg/beluga",PT3M21S,2021-10-28T14:23:16Z
3,When Your Phone Charges Overnight...,22652088,763199,27377,"It does not end well.

╔═╦╗╔╦╗╔═╦═╦╦╦╦╗╔═╗
║╚╣║║║╚╣╚╣╔╣╔╣║╚╣═╣ 
╠╗║╚╝║║╠╗║╚╣║║║║║═╣
╚═╩══╩═╩═╩═╩╝╚╩═╩═╝

follow these for a chance to be in my next video!
• Twitter - https://twitter.com/beluga1000
• Instagram - https://instagram.com/beluga1000
• Discord - https://discord.gg/beluga",PT2M51S,2021-09-02T14:00:13Z
4,The greatest comeback since Avengers endgame...,20686575,766733,33368,"He came back.

Twitter ➤ https://twitter.com/beluga1000
Join My Discord ➤ https://discord.gg/beluga

╔═╦╗╔╦╗╔═╦═╦╦╦╦╗╔═╗
║╚╣║║║╚╣╚╣╔╣╔╣║╚╣═╣ 
╠╗║╚╝║║╠╗║╚╣║║║║║═╣
╚═╩══╩═╩═╩═╩╝╚╩═╩═╝

#Discord",PT2M41S,2021-07-24T18:00:03Z
5,When Your Class plays Kahoot...,20660814,609809,23826,"Don't try this at school.

╔═╦╗╔╦╗╔═╦═╦╦╦╦╗╔═╗
║╚╣║║║╚╣╚╣╔╣╔╣║╚╣═╣ 
╠╗║╚╝║║╠╗║╚╣║║║║║═╣
╚═╩══╩═╩═╩═╩╝╚╩═╩═╝

follow these or i will bite you
• Twitter - https://twitter.com/beluga1000
• Instagram - https://instagram.com/beluga1000
• Discord - https://discord.gg/beluga",PT3M27S,2021-10-24T14:13:28Z
6,Kahoot Names Be Like...,18250969,450829,15128,"Don't do this at school.

╔═╦╗╔╦╗╔═╦═╦╦╦╦╗╔═╗
║╚╣║║║╚╣╚╣╔╣╔╣║╚╣═╣ 
╠╗║╚╝║║╠╗║╚╣║║║║║═╣
╚═╩══╩═╩═╩═╩╝╚╩═╩═╝

follow these or i will bite you
• Twitter - https://twitter.com/beluga1000
• Instagram - https://instagram.com/beluga1000
• Discord - https://discord.gg/beluga",PT3M1S,2021-11-05T13:43:01Z
7,When Mom asks you to play your music...,17548321,525772,32132,"This is the most dangerous moment of all time.

╔═╦╗╔╦╗╔═╦═╦╦╦╦╗╔═╗
║╚╣║║║╚╣╚╣╔╣╔╣║╚╣═╣ 
╠╗║╚╝║║╠╗║╚╣║║║║║═╣
╚═╩══╩═╩═╩═╩╝╚╩═╩═╝

follow these or i will bite you
• Twitter - https://twitter.com/beluga1000
• Instagram - https://instagram.com/beluga1000",PT2M34S,2021-12-02T14:51:00Z
8,When You Lie About Your Age...,17166238,454197,11300,"The truth will always come out.

╔═╦╗╔╦╗╔═╦═╦╦╦╦╗╔═╗
║╚╣║║║╚╣╚╣╔╣╔╣║╚╣═╣ 
╠╗║╚╝║║╠╗║╚╣║║║║║═╣
╚═╩══╩═╩═╩═╩╝╚╩═╩═╝

follow these or i will bite you
• Twitter - https://twitter.com/beluga1000
• Instagram - https://instagram.com/beluga1000
• Discord - https://discord.gg/beluga

epic merch: https://belugacat.com",PT3M9S,2022-01-21T14:15:00Z
9,When Autocorrect Destroys Your Marriage...,16876183,681921,29627,"Never use autocorrect.

╔═╦╗╔╦╗╔═╦═╦╦╦╦╗╔═╗
║╚╣║║║╚╣╚╣╔╣╔╣║╚╣═╣ 
╠╗║╚╝║║╠╗║╚╣║║║║║═╣
╚═╩══╩═╩═╩═╩╝╚╩═╩═╝

follow these for a chance to be in my next video!
• Twitter - https://twitter.com/beluga1000
• Instagram - https://instagram.com/beluga1000
• Discord - https://discord.gg/beluga",PT2M49S,2021-09-04T16:42:22Z
10,Make Anyone Laugh in 9.017 Seconds,16669656,719607,24350,"It works every time.

Some people never laugh, but if you say this... they have no choice.

╔═╦╗╔╦╗╔═╦═╦╦╦╦╗╔═╗
║╚╣║║║╚╣╚╣╔╣╔╣║╚╣═╣ 
╠╗║╚╝║║╠╗║╚╣║║║║║═╣
╚═╩══╩═╩═╩═╩╝╚╩═╩═╝

follow these for a chance to be in my next video!
• Twitter - https://twitter.com/beluga1000
• Instagram - https://instagram.com/beluga1000
• Discord - https://discord.gg/beluga",PT3M25S,2021-08-31T14:27:48Z
11,Beluga Face Reveal,16305262,1249130,79879,"I made a severe and continuous lapse in my judgement, and I don't expect to be forgiven. I'm simply here to apologize.

╔═╦╗╔╦╗╔═╦═╦╦╦╦╗╔═╗
║╚╣║║║╚╣╚╣╔╣╔╣║╚╣═╣ 
╠╗║╚╝║║╠╗║╚╣║║║║║═╣
╚═╩══╩═╩═╩═╩╝╚╩═╩═╝

follow these for a chance to be in my next video!
• Twitter - https://twitter.com/beluga1000
• Instagram - https://instagram.com/beluga1000
• Discord - https://discord.gg/beluga",PT2M1S,2021-09-22T14:28:51Z
12,When You Forget Your Passcode...,16232626,564188,21778,"There's only one way to unlock it.

Forgetting your passcode is the worst thing that could ever happen... but there is an easy trick to unlock it fast.

╔═╦╗╔╦╗╔═╦═╦╦╦╦╗╔═╗
║╚╣║║║╚╣╚╣╔╣╔╣║╚╣═╣ 
╠╗║╚╝║║╠╗║╚╣║║║║║═╣
╚═╩══╩═╩═╩═╩╝╚╩═╩═╝

follow these for a chance to be in my next video!
• Twitter - https://twitter.com/beluga1000
• Instagram - https://instagram.com/beluga1000
• Discord - https://discord.gg/beluga",PT3M19S,2021-08-17T16:30:04Z
13,Discord Mod Speedrun (9.17 seconds),15889003,782416,19538,"Strategy 3 works every time.

Discord mod is the most powerful position in the world. Full power, complete control... and there is an easy trick to speedrun it.

Twitter ➤ https://twitter.com/beluga1000
Join My Discord ➤ https://discord.gg/CETznntGeQ

╔═╦╗╔╦╗╔═╦═╦╦╦╦╗╔═╗
║╚╣║║║╚╣╚╣╔╣╔╣║╚╣═╣ 
╠╗║╚╝║║╠╗║╚╣║║║║║═╣
╚═╩══╩═╩═╩═╩╝╚╩═╩═╝

#Discord",PT3M19S,2021-06-22T18:05:58Z
14,when your Homework is due in 1 minute...,15876906,524012,15777,"This is the greatest speedrun of all time.

╔═╦╗╔╦╗╔═╦═╦╦╦╦╗╔═╗
║╚╣║║║╚╣╚╣╔╣╔╣║╚╣═╣ 
╠╗║╚╝║║╠╗║╚╣║║║║║═╣
╚═╩══╩═╩═╩═╩╝╚╩═╩═╝

follow these or i will bite you
• Twitter - https://twitter.com/beluga1000
• Instagram - https://instagram.com/beluga1000
• Discord - https://discord.gg/beluga",PT2M29S,2021-11-07T14:21:09Z
15,Smartest way to RickRoll anyone...,15786814,551574,15713,"This works every time.

╔═╦╗╔╦╗╔═╦═╦╦╦╦╗╔═╗
║╚╣║║║╚╣╚╣╔╣╔╣║╚╣═╣ 
╠╗║╚╝║║╠╗║╚╣║║║║║═╣
╚═╩══╩═╩═╩═╩╝╚╩═╩═╝

follow me or i will bite you
• Twitter - https://twitter.com/beluga1000
• Instagram - https://instagram.com/beluga1000
• Discord - https://discord.gg/beluga",PT3M16S,2022-03-25T14:15:02Z
16,When You Delete the App Store...,15179594,452885,28678,"Never delete the App Store.

╔═╦╗╔╦╗╔═╦═╦╦╦╦╗╔═╗
║╚╣║║║╚╣╚╣╔╣╔╣║╚╣═╣ 
╠╗║╚╝║║╠╗║╚╣║║║║║═╣
╚═╩══╩═╩═╩═╩╝╚╩═╩═╝

follow these or i will bite you
• Twitter - https://twitter.com/beluga1000
• Instagram - https://instagram.com/beluga1000",PT2M47S,2021-11-30T14:45:01Z
17,The impossible test (99.9% fail),14901349,544002,13834,"I bet you've failed this test before.

Captchas are the hardest challenges to exist, especially on Discord. Time is running out... you need to complete it fast.

Twitter ➤ https://twitter.com/beluga1000
Join My Discord ➤ https://discord.gg/XEsd5C7SF5

╔═╦╗╔╦╗╔═╦═╦╦╦╦╗╔═╗
║╚╣║║║╚╣╚╣╔╣╔╣║╚╣═╣ 
╠╗║╚╝║║╠╗║╚╣║║║║║═╣
╚═╩══╩═╩═╩═╩╝╚╩═╩═╝",PT2M17S,2021-08-03T17:14:15Z
18,Phone Batteries Be Like...,14726909,344490,14397,"Not every phone is built the same.

╔═╦╗╔╦╗╔═╦═╦╦╦╦╗╔═╗
║╚╣║║║╚╣╚╣╔╣╔╣║╚╣═╣ 
╠╗║╚╝║║╠╗║╚╣║║║║║═╣
╚═╩══╩═╩═╩═╩╝╚╩═╩═╝

follow these or i will bite you
• Twitter - https://twitter.com/beluga1000
• Instagram - https://instagram.com/beluga1000
• Discord - https://discord.gg/beluga",PT3M1S,2021-10-16T15:03:16Z
19,Discord Raids Be Like...,14545092,538437,17009,"Prepare for battle.

╔═╦╗╔╦╗╔═╦═╦╦╦╦╗╔═╗
║╚╣║║║╚╣╚╣╔╣╔╣║╚╣═╣ 
╠╗║╚╝║║╠╗║╚╣║║║║║═╣
╚═╩══╩═╩═╩═╩╝╚╩═╩═╝

follow these or i will bite you
• Twitter - https://twitter.com/beluga1000
• Instagram - https://instagram.com/beluga1000
• Discord - https://discord.gg/beluga",PT3M,2021-10-26T14:03:18Z
20,"When Mom ""Borrows"" Your Phone...",14495807,342333,11189,"This is the scariest moment of all time.

╔═╦╗╔╦╗╔═╦═╦╦╦╦╗╔═╗
║╚╣║║║╚╣╚╣╔╣╔╣║╚╣═╣ 
╠╗║╚╝║║╠╗║╚╣║║║║║═╣
╚═╩══╩═╩═╩═╩╝╚╩═╩═╝

follow these or i will bite you
• Twitter - https://twitter.com/beluga1000
• Instagram - https://instagram.com/beluga1000
• Discord - https://discord.gg/beluga

epic merch: https://belugacat.com",PT2M48S,2022-01-07T14:00:03Z
21,When You Ask for a Plastic Straw at Starbucks,14350918,458873,15446,"This is the last straw.

Plastic straws are the most dangerous items to exist, even worse than nuclear weapons. But what happens when you ask a Starbucks employee for one?

Twitter ➤ https://twitter.com/beluga1000
Join My Discord ➤ https://discord.gg/beluga

╔═╦╗╔╦╗╔═╦═╦╦╦╦╗╔═╗
║╚╣║║║╚╣╚╣╔╣╔╣║╚╣═╣ 
╠╗║╚╝║║╠╗║╚╣║║║║║═╣
╚═╩══╩═╩═╩═╩╝╚╩═╩═╝

Psst... follow me on twitter, you could be in my next video!",PT3M17S,2021-07-22T18:00:54Z
22,Discord Nitro Speedrun (97.1% success),14274425,495611,21112,"Strategy 3 is dangerous.

Discord Nitro is the most powerful item in the world. Custom emojis, server boosts... and there is an easy trick to speedrun getting it for free.

Twitter ➤ https://twitter.com/beluga1000
Join My Discord ➤ https://discord.gg/beluga

╔═╦╗╔╦╗╔═╦═╦╦╦╦╗╔═╗
║╚╣║║║╚╣╚╣╔╣╔╣║╚╣═╣ 
╠╗║╚╝║║╠╗║╚╣║║║║║═╣
╚═╩══╩═╩═╩═╩╝╚╩═╩═╝

#Discord",PT3M48S,2021-07-08T18:12:01Z
23,When You Accidentally Download a Virus...,13786527,441062,15639,"The ending will shock you.

Discord viruses are the most dangerous files to exist... but what happens if you download one by accident?

Twitter ➤ https://twitter.com/beluga1000
Join My Discord ➤ https://discord.gg/XEsd5C7SF5

╔═╦╗╔╦╗╔═╦═╦╦╦╦╗╔═╗
║╚╣║║║╚╣╚╣╔╣╔╣║╚╣═╣ 
╠╗║╚╝║║╠╗║╚╣║║║║║═╣
╚═╩══╩═╩═╩═╩╝╚╩═╩═╝

#Discord",PT2M33S,2021-08-01T17:15:32Z
24,When You Win the Lottery...,13688005,632291,27339,"Your life will change.

Winning the lottery is the best thing that could ever happen... right?

╔═╦╗╔╦╗╔═╦═╦╦╦╦╗╔═╗
║╚╣║║║╚╣╚╣╔╣╔╣║╚╣═╣ 
╠╗║╚╝║║╠╗║╚╣║║║║║═╣
╚═╩══╩═╩═╩═╩╝╚╩═╩═╝

follow these for a chance to be in my next video!
• Twitter - https://twitter.com/beluga1000
• Instagram - https://instagram.com/beluga1000
• Discord - https://discord.gg/beluga",PT3M1S,2021-08-21T17:12:32Z
25,Win Any Argument in 9.17 Seconds,13450039,597983,23262,"Use this at your own risk.

Arguments on the internet and Discord can be intense... but there is an easy trick to win every time.

Twitter ➤ https://twitter.com/beluga1000
Join My Discord ➤ https://discord.gg/XEsd5C7SF5

╔═╦╗╔╦╗╔═╦═╦╦╦╦╗╔═╗
║╚╣║║║╚╣╚╣╔╣╔╣║╚╣═╣ 
╠╗║╚╝║║╠╗║╚╣║║║║║═╣
╚═╩══╩═╩═╩═╩╝╚╩═╩═╝",PT3M11S,2021-08-05T17:11:46Z
26,When a Discord Mod plays Among Us...,13288820,384224,11134,"It ends badly.

Discord mods are the most powerful beings to exist... but what happens when they play Among Us?

Twitter ➤ https://twitter.com/beluga1000
Join My Discord ➤ https://discord.gg/beluga

╔═╦╗╔╦╗╔═╦═╦╦╦╦╗╔═╗
║╚╣║║║╚╣╚╣╔╣╔╣║╚╣═╣ 
╠╗║╚╝║║╠╗║╚╣║║║║║═╣
╚═╩══╩═╩═╩═╩╝╚╩═╩═╝

#Discord #AmongUs",PT2M19S,2021-07-18T17:58:11Z
27,When Your Screen Time runs out...,13220697,464237,20564,"It ends badly.

Phone restrictions the worst things that could ever happen... but there is an easy trick to remove it.

╔═╦╗╔╦╗╔═╦═╦╦╦╦╗╔═╗
║╚╣║║║╚╣╚╣╔╣╔╣║╚╣═╣ 
╠╗║╚╝║║╠╗║╚╣║║║║║═╣
╚═╩══╩═╩═╩═╩╝╚╩═╩═╝

follow these for a chance to be in my next video!
• Twitter - https://twitter.com/beluga1000
• Instagram - https://instagram.com/beluga1000
• Discord - https://discord.gg/beluga",PT2M33S,2021-09-18T14:01:19Z
28,when Online Class goes terribly wrong...,13069485,406190,14059,"Don't try this at school.

╔═╦╗╔╦╗╔═╦═╦╦╦╦╗╔═╗
║╚╣║║║╚╣╚╣╔╣╔╣║╚╣═╣ 
╠╗║╚╝║║╠╗║╚╣║║║║║═╣
╚═╩══╩═╩═╩═╩╝╚╩═╩═╝

follow these or i will bite you
• Twitter - https://twitter.com/beluga1000
• Instagram - https://instagram.com/beluga1000",PT3M33S,2021-11-28T14:59:58Z
29,When a Hacker Fixes Your Computer...,12958366,433271,12069,"Never let them fix your computer.

Discord hackers are people you should never trust... but what happens when you let them help?

Twitter ➤ https://twitter.com/beluga1000
Join My Discord ➤ https://discord.gg/beluga

╔═╦╗╔╦╗╔═╦═╦╦╦╦╗╔═╗
║╚╣║║║╚╣╚╣╔╣╔╣║╚╣═╣ 
╠╗║╚╝║║╠╗║╚╣║║║║║═╣
╚═╩══╩═╩═╩═╩╝╚╩═╩═╝

#Discord",PT3M29S,2021-07-20T17:58:51Z
